4.844558578744201371e-01,5.243798042203223764e-01,5.647736825268857563e-01,6.079604217372638342e-01,6.540230488084715077e-01,6.950509268763419568e-01,7.199077557513795522e-01,7.271897183972513279e-01,7.201290340197128437e-01,7.019747694961011586e-01,6.750871968495195663e-01,6.415415403856316034e-01,6.030174299932969939e-01,5.611748903715749748e-01,5.173489542096277871e-01
5.348792105952486775e-01,5.709622012341732944e-01,6.038752848778449200e-01,6.352596789688762513e-01,6.661704976375251164e-01,6.964510458904251688e-01,7.232559857489556654e-01,7.415767552584322519e-01,7.483460496047470434e-01,7.437279536978559369e-01,7.295966000845738320e-01,7.078509988885971493e-01,6.801759655416509398e-01,6.481185711197930965e-01,6.128104449056783753e-01
5.740820385827722916e-01,6.082339171931420152e-01,6.375190569484689984e-01,6.634324938327925691e-01,6.870476354526440232e-01,7.088449320037774060e-01,7.284110177643712269e-01,7.440758518704183588e-01,7.534299909440289600e-01,7.546395910868005652e-01,7.475953485242747831e-01,7.330765332394909572e-01,7.124758068199690264e-01,6.870430085631451522e-01,6.579248559681094566e-01
5.954734923051954176e-01,6.266286432188009625e-01,6.521201596807283396e-01,6.855380121147219841e-01,7.046733399905018569e-01,7.078607273179775561e-01,7.352467497871014723e-01,7.324976349884175786e-01,7.391828518232765877e-01,7.403170225349956501e-01,7.484809980647830763e-01,7.237281912344999402e-01,7.068853884362406026e-01,6.855447923271930089e-01,6.720452132162455516e-01
6.213407903864079929e-01,6.511026218171592772e-01,6.744974054181204215e-01,7.021079716340121735e-01,7.080806194388881147e-01,7.201788801666133555e-01,7.395267340865272487e-01,7.365528117956873233e-01,7.400645115820061459e-01,7.394469784217527764e-01,7.340626346459846463e-01,7.236462888995979226e-01,7.085735798818094677e-01,6.973276826256830097e-01,6.742929395182462038e-01
6.470198703568788012e-01,6.700435841813927595e-01,6.914209212275164163e-01,7.075704800150355300e-01,7.270134822974575473e-01,7.286240351017614358e-01,7.422143725192421604e-01,7.455880024340648671e-01,7.387805334090185028e-01,7.359307387286502244e-01,7.292904536959966544e-01,7.185871394658720490e-01,7.039849420680630576e-01,6.858329342966259512e-01,6.700772765342268844e-01
6.581004937696739443e-01,6.848283661491099128e-01,7.043082452067884747e-01,7.238749360023067903e-01,7.279026223668175755e-01,7.341238625634096682e-01,7.434103939544293160e-01,7.381774270735449450e-01,7.417833464847868319e-01,7.311901272933107876e-01,7.230268586331659586e-01,7.115408628226052024e-01,6.967528838555923087e-01,6.834810223278096064e-01,6.585790181232098472e-01
6.712419367401366577e-01,6.964253954223219578e-01,7.140931218255965884e-01,7.259943501836898516e-01,7.383736934175538780e-01,7.423815453197304404e-01,7.383889798469033261e-01,7.367263301283971666e-01,7.325164953716334360e-01,7.256724874240484402e-01,7.203770033445818788e-01,7.036126712180904574e-01,6.883972779676128528e-01,6.706092055567993704e-01,6.541835994620794903e-01
6.855012485807818745e-01,7.059773997081226771e-01,7.219307295572351402e-01,7.320032532297506833e-01,7.375178269365165740e-01,7.394258882538358169e-01,7.383623260798511945e-01,7.388467856485092522e-01,7.326075871845731946e-01,7.200668649063872717e-01,7.128264406182676094e-01,6.956840378324889995e-01,6.799035170916795101e-01,6.619153370148579407e-01,6.420108771727145447e-01
6.944079521320131176e-01,7.139226100221586213e-01,7.282939240758178334e-01,7.401353340696491534e-01,7.404596617309477935e-01,7.406078475151486318e-01,7.374688635841432083e-01,7.358555758826252902e-01,7.246701053845088225e-01,7.146901124129447780e-01,7.021418942292159127e-01,6.881805718079682110e-01,6.717673592912501990e-01,6.560968105501823189e-01,6.332546451631025919e-01
